"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Scheffersomyces stipitis",6.93068764495056,-5.73063622945806,3.02526834039046,-1.8942571648763,0.0581908836999353,0.140287211514439
"Rhodoferax sp. PAMC 29310",6.98612708878258,-5.70628226341988,3.02471978878206,-1.88654905640617,0.059221004298267,0.14200305331735
"Ascochyta rabiei",7.88672423389093,-5.69317924809713,3.02528266778935,-1.88186687766842,0.0598540926370709,0.142753611316223
"Serinicoccus marinus",5.69943997963804,-5.60511404761733,3.02589760774856,-1.85238060708467,0.0639711880686833,0.151761435524642
"Mycoavidus sp. HKI",10.2606247098355,5.56464647926731,3.01725997761707,1.84427146502042,0.0651435878873539,0.153725080411428
"Streptomyces sp. T12",25.1570387129746,-5.42962317822798,2.9699243614834,-1.82820251203839,0.06751916416012,0.15788238618563
"Colletotrichum lupini",113.870589086139,3.36408296881585,1.84073558371669,1.82757534464744,0.0676133088821867,0.15788238618563
"Shewanella woodyi",35.1078636768791,3.83299492905667,2.11717081132182,1.81043253976452,0.0702287369772043,0.163135503603298
"Haloferax larsenii",16.8108266981209,-5.30113198981348,2.96000445322675,-1.79092027514844,0.0733060895710606,0.16940163703986
"Evansella cellulosilytica",5.00585644642579,-5.35969064562974,3.02866124826798,-1.76965669194428,0.076784348547695,0.176524842537484
"Desulfoferula mesophila",24.3584157709468,4.03236153000231,2.28681111301914,1.76331202303746,0.0778478786172433,0.176792685778567
"Abelson murine leukemia virus",13.1504806703813,-4.11732664288133,2.33593440752684,-1.76260370565821,0.0779673516578983,0.176792685778567
"Photobacterium sp. CCB-ST2H9",8.55052059152956,5.32012712689276,3.01957880013234,1.76187722826097,0.0780900428214747,0.176792685778567
"Isoalcanivorax pacificus",8.38315288104923,5.3121649694734,3.03307229630172,1.75141389671147,0.0798746409605738,0.17991964580008
"Nakaseomyces glabratus",4.54674425341911,-5.27961555141349,3.02703739481447,-1.74415273509929,0.081132460527341,0.180989231338708
"Syntrophomonas wolfei",9.01939719027209,5.29016012742124,3.03336865058949,1.74398852786758,0.0811610902864161,0.180989231338708
"Actinomyces procaprae",5.85563709897089,-5.24333288024816,3.02209149067179,-1.73500137121349,0.0827405623354299,0.183593486575133
"Actinomadura sp. NAK00032",5.78674725074771,-5.22799190868299,3.02222810639754,-1.72984689594284,0.0836576332242652,0.184709427811991
"Halomonas sp. H10-59",11.3996155798163,-5.17133645239984,3.01302890771545,-1.71632487134711,0.0861025986319718,0.189171226551032
"Fusarium pseudograminearum",4.36445360967097,-5.17870329136138,3.02943388406148,-1.70946239117733,0.0873653324450324,0.189826708849009
"Pseudothauera hydrothermalis",4.22655099613607,-5.17444269382614,3.02746354243075,-1.70916763201435,0.0874199026684928,0.189826708849009
"Kwoniella shivajii",25.2314277465923,4.48927722285143,2.62872631515087,1.70777657490517,0.0876778072262237,0.189826708849009
"Mycobacterium intracellulare",7.49427981257591,5.14500812082606,3.02148690087057,1.702806694063,0.0886042497195399,0.190905774758042
"Agrobacterium salinitolerans",133.535929771832,-3.09100148925449,1.81862964320905,-1.69963219328169,0.0892001309143707,0.191227795742737
"Streptomyces sp. HUAS TT11",4.28991123666972,-5.14289494531798,3.02977335060646,-1.69745203689528,0.0896112316372916,0.191227795742737
